lofi_n,load_awareness,lofi_delta,link_failure_rate,random_seed,test,drop_rate,delay,throughput,control_overhead,ttl_rate,no_entry_rate
5,False,0.05,0.05,451,1,1.510%,161.148,0.122587,0.004253,0.000%,0.000%
5,False,0.05,0.05,451,2,1.500%,160.946,0.099954,0.003832,0.000%,0.000%
5,False,0.05,0.05,451,3,1.540%,160.681,0.107816,0.003798,0.000%,0.000%
5,False,0.05,0.05,451,4,1.590%,160.437,0.091203,0.003682,0.000%,0.000%
5,False,0.05,0.05,451,5,1.590%,160.647,0.086855,0.003886,0.000%,0.000%
-3,False,0.05,0.05,451,1,74.830%,345.698,0.012310,0.027496,57.310%,0.000%
-3,False,0.05,0.05,451,1,78.460%,244.711,0.014205,0.029210,76.420%,0.000%
-3,False,0.05,0.05,451,1,100.000%,1061109567.000,0.012729,0.034137,94.320%,0.000%
-3,False,0.05,0.05,451,1,82.130%,237.731,0.015076,0.033606,74.430%,0.000%
-3,False,0.05,0.005,451,1,100.000%,1061109567.000,0.075466,0.012299,98.810%,0.000%
