
2024/06/27 17:37:51 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:37:51.99209904, finished routing table calculation, elapsed 845036ns,6187ns
2024/06/27 17:37:54 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:37:54.84687466, finished routing table calculation, elapsed 830063ns,7565ns
2024/06/27 17:37:56 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:37:56.106106447, finished routing table calculation, elapsed 1406624ns,13620ns
2024/06/27 17:37:56 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:37:56.662651090, finished routing table calculation, elapsed 699108ns,6151ns
2024/06/27 17:37:56 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:37:56.724957131, finished routing table calculation, elapsed 1433741ns,12224ns
2024/06/27 17:38:01 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:38:01.110386753, finished routing table calculation, elapsed 819914ns,7273ns
2024/06/27 17:38:04 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:38:04.95839460, finished routing table calculation, elapsed 1484829ns,13590ns
2024/06/27 17:38:06 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:38:06.109279878, finished routing table calculation, elapsed 1116960ns,9250ns
2024/06/27 17:38:06 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:38:06.662573378, finished routing table calculation, elapsed 1416005ns,13358ns
2024/06/27 17:38:06 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:38:06.727365120, finished routing table calculation, elapsed 1450316ns,13848ns
2024/06/27 17:38:11 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:38:11.122034596, finished routing table calculation, elapsed 825869ns,7484ns
2024/06/27 17:38:14 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:38:14.103403871, finished routing table calculation, elapsed 1951866ns,15325ns
2024/06/27 17:38:16 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:38:16.128109897, finished routing table calculation, elapsed 1185547ns,9237ns
2024/06/27 17:38:16 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:38:16.661844038, finished routing table calculation, elapsed 966847ns,8583ns
2024/06/27 17:38:16 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:38:16.724741866, finished routing table calculation, elapsed 1667741ns,14633ns
