
2024/06/26 20:04:28 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:28.972604962, finished routing table calculation, elapsed 1838898ns,1293452ns
2024/06/26 20:04:32 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:32.774848080, finished routing table calculation, elapsed 1709295ns,1142548ns
2024/06/26 20:04:36 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:36.691910777, finished routing table calculation, elapsed 1991381ns,1339109ns
2024/06/26 20:04:39 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:39.689011763, finished routing table calculation, elapsed 2093059ns,1696970ns
2024/06/26 20:04:40 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:40.849354763, finished routing table calculation, elapsed 3136599ns,2067069ns
2024/06/26 20:04:40 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:40.969549074, finished routing table calculation, elapsed 2065924ns,1176644ns
2024/06/26 20:04:44 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:44.679794000, finished routing table calculation, elapsed 3144984ns,2074880ns
2024/06/26 20:04:47 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:47.689390759, finished routing table calculation, elapsed 3171979ns,2091499ns
2024/06/26 20:04:50 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:50.479479392, finished routing table calculation, elapsed 3275244ns,2157929ns
2024/06/26 20:04:50 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:50.855587525, finished routing table calculation, elapsed 2742956ns,1844779ns
2024/06/26 20:04:50 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:50.979994954, finished routing table calculation, elapsed 3531105ns,2345730ns
2024/06/26 20:04:55 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:55.957227572, finished routing table calculation, elapsed 3308443ns,2204456ns
2024/06/26 20:04:59 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:04:59.471959197, finished routing table calculation, elapsed 3194504ns,2102094ns
2024/06/26 20:05:01 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:05:01.665085337, finished routing table calculation, elapsed 3464275ns,2349863ns
2024/06/26 20:05:02 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:05:02.861708291, finished routing table calculation, elapsed 3219571ns,2044420ns
2024/06/26 20:05:02 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-26 20:05:02.988655432, finished routing table calculation, elapsed 1955373ns,1438270ns
2024/06/26 20:05:07 warnings: ZEBRA: [PHJDC-499N2][EC 100663314] STARVATION: task dplane_thread_loop (560a90dd92c0) ran for 7336ms (cpu time 17ms)
