lofi_n,load_awareness,lofi_delta,link_failure_rate,test,drop_rate,delay,throughput,control_overhead,ttl_rate,no_entry_rate
5,False,0.05,0.05,73,4.2%,111.6,0.693497,0.007400,0.0%,0.0%
5,False,0.05,0.05,74,4.1%,113.0,0.715535,0.007706,0.0%,0.0%
5,False,0.05,0.05,75,9.1%,112.7,0.721564,0.008248,4.9%,0.0%
5,False,0.05,0.05,76,4.1%,111.4,0.742182,0.007767,0.1%,0.0%
5,False,0.05,0.05,77,5.6%,117.6,0.688218,0.007441,1.5%,0.0%
5,False,0.05,0.05,78,7.1%,116.7,0.717961,0.007267,3.1%,0.0%
5,False,0.05,0.05,79,4.6%,112.6,0.721531,0.007892,0.0%,0.0%
5,False,0.05,0.05,80,3.9%,111.2,0.716624,0.007519,0.0%,0.0%
5,False,0.05,0.05,81,4.1%,111.3,0.747590,0.007160,0.0%,0.0%
5,False,0.05,0.05,82,4.6%,111.8,0.732385,0.007914,0.2%,0.0%
5,False,0.05,0.05,83,7.5%,117.6,0.725641,0.007618,2.9%,0.0%
5,False,0.05,0.05,84,4.1%,111.3,0.718139,0.007199,0.0%,0.0%
5,False,0.05,0.05,85,7.0%,118.6,0.715339,0.007986,3.0%,0.0%
5,False,0.05,0.05,86,3.9%,112.2,0.707611,0.007264,0.0%,0.0%
5,False,0.05,0.05,87,4.0%,113.0,0.745433,0.007368,0.0%,0.0%
5,False,0.05,0.05,88,6.5%,114.5,0.713956,0.007381,2.3%,0.0%
5,False,0.05,0.05,89,4.6%,112.6,0.709111,0.007124,0.0%,0.0%
5,False,0.05,0.05,90,12.1%,119.1,0.713133,0.007524,7.8%,0.0%
5,False,0.05,0.05,91,4.4%,113.0,0.718959,0.006916,0.0%,0.0%
5,False,0.05,0.05,92,7.3%,117.2,0.719902,0.007463,3.2%,0.0%
5,False,0.05,0.05,93,7.1%,116.9,0.732192,0.007814,3.2%,0.0%
5,False,0.05,0.05,94,3.9%,111.9,0.736436,0.007705,0.0%,0.0%
5,False,0.05,0.05,95,6.5%,114.3,0.742132,0.007397,2.2%,0.0%
5,False,0.05,0.05,96,4.6%,114.8,0.757674,0.007192,0.6%,0.0%
5,False,0.05,0.05,97,4.3%,112.0,0.744004,0.008036,0.0%,0.0%
5,False,0.05,0.05,98,4.1%,111.4,0.716143,0.007249,0.0%,0.0%
5,False,0.05,0.05,99,7.4%,118.9,0.741191,0.007706,3.1%,0.0%
5,False,0.05,0.05,100,4.0%,111.8,0.700662,0.007728,0.0%,0.0%
